[STEP    1] Pos( 1, 0) | RGB(128,  0,  0) -> R_Fonce    | Dir:> BAB | Bloq:0 | PileSize:0
[STEP    2] Pos( 2, 0) | RGB(255,128,128) -> R_Clair    | Dir:> BAB | Bloq:0 | PileSize:1
[STEP    3] Pos( 3, 0) | RGB(255,  0,  0) -> R_Norm     | Dir:> BAB | Bloq:0 | PileSize:1
[STEP    4] Pos( 4, 0) | RGB(255,255,128) -> J_Clair    | Dir:> BAB | Bloq:0 | PileSize:1
[STEP    5] Pos( 5, 0) | RGB(  0,128,  0) -> V_Fonce    | Dir:> BAB | Bloq:0 | PileSize:1
[STEP    6] Pos( 6, 0) | RGB(128,  0,  0) -> R_Fonce    | Dir:> BAB | Bloq:0 | PileSize:1
[STEP    7] Pos( 7, 0) | RGB(255,  0,255) -> M_Norm     | Dir:> BAB | Bloq:0 | PileSize:2
[STEP    8] Pos( 8, 0) | RGB(128,255,255) -> C_Clair    | Dir:> BAB | Bloq:0 | PileSize:1
[STEP    9] Pos( 9, 0) | RGB(  0,255,255) -> C_Norm     | Dir:> BAB | Bloq:0 | PileSize:1
[STEP   10] Pos(10, 0) | RGB(  0,128,128) -> C_Fonce    | Dir:> BAB | Bloq:0 | PileSize:1
[STEP   11] Pos(11, 0) | RGB(255,255,128) -> J_Clair    | Dir:> BAB | Bloq:0 | PileSize:1
[STEP   12] Pos(12, 0) | RGB(128,  0,  0) -> R_Fonce    | Dir:> BAB | Bloq:0 | PileSize:1
[STEP   13] Pos(13, 0) | RGB(  0,  0,255) -> B_Norm     | Dir:> BAB | Bloq:0 | PileSize:1
>> ATTENTE SAISIE CLAVIER (Entier) : >> [OK] 1 ajouté à la pile.
[STEP   14] Pos(14, 0) | RGB(  0,255,  0) -> V_Norm     | Dir:> BAB | Bloq:0 | PileSize:2
[STEP   15] Pos(15, 0) | RGB(  0,128,  0) -> V_Fonce    | Dir:> BAB | Bloq:0 | PileSize:2
[STEP   16] Pos(16, 0) | RGB(128,255,128) -> V_Clair    | Dir:> BAB | Bloq:0 | PileSize:2
[STEP   17] Pos(17, 0) | RGB(255,  0,  0) -> R_Norm     | Dir:> BAB | Bloq:0 | PileSize:2
[STEP   18] Pos(18, 0) | RGB(  0,  0,255) -> B_Norm     | Dir:> BAB | Bloq:0 | PileSize:2
[STEP   19] Pos(19, 0) | RGB(  0,  0,128) -> B_Fonce    | Dir:> BAB | Bloq:0 | PileSize:3
[STEP   20] Pos(20, 0) | RGB(128,128,255) -> B_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   21] Pos(21, 0) | RGB(  0,255,  0) -> V_Norm     | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   22] Pos(22, 0) | RGB(128,128,  0) -> J_Fonce    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   23] Pos(28, 0) | RGB(255,255,128) -> J_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   24] Pos(29, 0) | RGB(128,  0,  0) -> R_Fonce    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   25] Pos(30, 0) | RGB(255,128,255) -> M_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   26] Pos(31, 0) | RGB(255,128,255) -> M_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   27] Pos(32, 0) | RGB(255,128,255) -> M_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   28] Pos(33, 0) | RGB(255,128,255) -> M_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   29] Pos(34, 0) | RGB(255,128,255) -> M_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   30] Pos(35, 0) | RGB(255,128,255) -> M_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   31] Pos(36, 0) | RGB(255,  0,255) -> M_Norm     | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   32] Pos(37, 0) | RGB(128,128,255) -> B_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   33] Pos(38, 0) | RGB(255,128,255) -> M_Clair    | Dir:> BAB | Bloq:0 | PileSize:4
[STEP   34] Pos(39, 0) | RGB(  0,  0,255) -> B_Norm     | Dir:> BAB | Bloq:0 | PileSize:4
